Time,Channel A,Channel B
(ms),(V),(V)

-20.04591748,0.53666800,0.02868740
-20.02543748,0.53666800,0.02868740
-20.00495748,0.53666800,0.02868740
-19.98447748,0.53666800,0.02868740
-19.96399748,0.53666800,0.02868740
-19.94351748,0.53666800,0.02868740
-19.92303748,0.53666800,0.02868740
-19.90255748,0.53666800,0.02868740
-19.88207748,0.53666800,0.02868740
-19.86159748,0.53666800,0.07309183
-19.84111748,0.53666800,0.02868740
-19.82063748,0.53666800,0.02868740
-19.80015748,0.53666800,0.02868740
-19.77967748,0.53666800,0.02868740
-19.75919748,0.53666800,0.02868740
-19.73871748,0.53666800,0.02868740
-19.71823748,0.53666800,0.02868740
-19.69775748,0.53666800,0.02868740
-19.67727748,0.53666800,0.07309183
-19.65679748,0.53666800,0.02868740
-19.63631748,0.53666800,0.02868740
-19.61583748,0.53666800,0.02868740
-19.59535748,0.53666800,0.07309183
-19.57487748,0.53666800,0.02868740
-19.55439748,0.53666800,0.02868740
-19.53391748,0.53666800,0.07309183
-19.51343748,0.53666800,0.02868740
-19.49295748,0.53666800,0.02868740
-19.47247748,0.53666800,0.02868740
-19.45199748,0.53666800,0.02868740
-19.43151748,0.53666800,0.02868740
-19.41103749,0.53666800,0.02868740
-19.39055749,0.53666800,0.02868740
-19.37007749,0.53666800,0.02868740
-19.34959749,0.53666800,0.02868740
-19.32911749,0.53666800,0.02868740
-19.30863749,0.53666800,0.02868740
-19.28815749,0.53666800,0.02868740
-19.26767749,0.53666800,0.02868740
-19.24719749,0.53666800,0.02868740
-19.22671749,0.53666800,0.02868740
-19.20623749,0.53666800,0.02868740
-19.18575749,0.53666800,0.02868740
-19.16527749,0.53666800,0.02868740
-19.14479749,0.53666800,0.02868740
-19.12431749,0.53666800,0.02868740
-19.10383749,0.53666800,0.07309183
-19.08335749,0.53666800,0.02868740
-19.06287749,0.53666800,0.02868740
-19.04239749,0.53666800,0.02868740
-19.02191749,0.53666800,0.02868740
-19.00143749,0.53666800,0.02868740
-18.98095749,0.53666800,0.02868740
-18.96047749,0.53666800,0.02868740
-18.93999749,0.53666800,0.02868740
-18.91951749,0.53666800,0.02868740
-18.89903749,0.53666800,0.02868740
-18.87855749,0.53666800,0.02868740
-18.85807749,0.53666800,0.02868740
-18.83759749,0.53666800,0.02868740
-18.81711749,0.53666800,0.02868740
-18.79663749,0.53666800,0.02868740
-18.77615749,0.53666800,0.02868740
-18.75567749,0.53666800,0.02868740
-18.73519749,0.53666800,0.02868740
-18.71471749,0.53666800,0.02868740
-18.69423749,0.53666800,0.02868740
-18.67375749,0.53666800,0.07309183
-18.65327749,0.53666800,0.07309183
-18.63279749,0.53666800,0.02868740
-18.61231749,0.53666800,0.02868740
-18.59183749,0.53666800,0.02868740
-18.57135749,0.53666800,0.02868740
-18.55087749,0.53666800,0.02868740
-18.53039749,0.53666800,0.02868740
-18.50991749,0.53666800,0.02868740
-18.48943749,0.53666800,0.02868740
-18.46895749,0.53666800,0.02868740
-18.44847749,0.53666800,0.02868740
-18.42799749,0.53666800,0.02868740
-18.40751749,0.53666800,0.02868740
-18.38703749,0.53666800,0.02868740
-18.36655749,0.53666800,0.02868740
-18.34607749,0.53666800,0.02868740
-18.32559749,0.53666800,0.02868740
-18.30511749,0.53666800,0.07309183
-18.28463749,0.53666800,0.02868740
-18.26415749,0.53666800,0.02868740
-18.24367749,0.53666800,0.02868740
-18.22319749,0.53666800,0.02868740
-18.20271749,0.53666800,0.02868740
-18.18223749,0.53666800,0.02868740
-18.16175749,1.56117400,0.02868740
-18.14127749,1.56117400,0.02868740
-18.12079749,1.56117400,0.02868740
-18.10031749,1.56117400,0.02868740
-18.07983749,1.51661700,0.02868740
-18.05935749,1.56117400,0.02868740
-18.03887749,1.56117400,0.02868740
-18.01839749,1.56117400,0.02868740
-17.99791749,1.56117400,0.02868740
-17.97743749,1.56117400,0.02868740
-17.95695749,1.56117400,0.02868740
-17.93647749,1.56117400,0.02868740
-17.91599749,1.56117400,0.02868740
-17.89551749,1.56117400,0.02868740
-17.87503749,1.51661700,0.02868740
-17.85455749,1.56117400,0.02868740
-17.83407749,1.56117400,0.02868740
-17.81359749,1.56117400,0.02868740
-17.79311749,1.56117400,0.02868740
-17.77263749,1.56117400,0.02868740
-17.75215750,1.56117400,0.07309183
-17.73167750,1.51661700,0.02868740
-17.71119750,1.56117400,0.07309183
-17.69071750,1.56117400,0.02868740
-17.67023750,1.56117400,0.02868740
-17.64975750,1.56117400,0.02868740
-17.62927750,1.56117400,0.02868740
-17.60879750,1.56117400,0.02868740
