Time,Channel A,Channel B
(ms),(V),(V)

-20.04644275,0.53666800,0.02868740
-20.02596275,0.53666800,0.02868740
-20.00548275,0.53666800,0.02868740
-19.98500275,0.53666800,0.02868740
-19.96452275,0.53666800,0.07309183
-19.94404275,0.53666800,0.02868740
-19.92356275,0.53666800,0.02868740
-19.90308275,0.53666800,0.02868740
-19.88260275,0.53666800,0.02868740
-19.86212275,0.53666800,0.07309183
-19.84164275,0.53666800,0.02868740
-19.82116275,0.53666800,0.02868740
-19.80068275,0.53666800,0.02868740
-19.78020275,0.53666800,0.02868740
-19.75972275,0.53666800,0.02868740
-19.73924275,0.53666800,0.02868740
-19.71876275,0.53666800,0.02868740
-19.69828275,0.53666800,0.02868740
-19.67780275,0.53666800,0.02868740
-19.65732275,0.53666800,0.02868740
-19.63684275,0.53666800,0.02868740
-19.61636275,0.53666800,0.02868740
-19.59588275,0.53666800,0.02868740
-19.57540275,0.53666800,0.02868740
-19.55492275,0.53666800,0.02868740
-19.53444275,0.53666800,0.02868740
-19.51396275,0.53666800,0.02868740
-19.49348275,0.53666800,0.02868740
-19.47300275,0.53666800,0.02868740
-19.45252275,0.53666800,0.02868740
-19.43204275,0.53666800,0.02868740
-19.41156275,0.53666800,0.02868740
-19.39108275,0.53666800,0.02868740
-19.37060275,0.53666800,0.02868740
-19.35012275,0.53666800,0.02868740
-19.32964275,0.53666800,0.02868740
-19.30916275,0.53666800,0.02868740
-19.28868275,0.53666800,0.02868740
-19.26820275,0.53666800,0.02868740
-19.24772275,0.53666800,0.07309183
-19.22724275,0.53666800,0.07309183
-19.20676275,0.53666800,0.02868740
-19.18628275,0.53666800,0.02868740
-19.16580275,0.53666800,0.02868740
-19.14532275,0.53666800,0.02868740
-19.12484275,0.53666800,0.02868740
-19.10436275,0.53666800,0.02868740
-19.08388275,0.53666800,0.02868740
-19.06340275,0.53666800,0.02868740
-19.04292275,0.53666800,0.02868740
-19.02244275,0.53666800,0.02868740
-19.00196275,0.53666800,0.02868740
-18.98148275,0.53666800,0.02868740
-18.96100275,0.53666800,0.02868740
-18.94052275,0.53666800,0.02868740
-18.92004275,0.53666800,0.02868740
-18.89956275,0.53666800,0.02868740
-18.87908275,0.53666800,0.02868740
-18.85860275,0.53666800,0.02868740
-18.83812275,0.53666800,0.07309183
-18.81764275,0.53666800,0.02868740
-18.79716275,0.53666800,0.07309183
-18.77668275,0.53666800,0.02868740
-18.75620275,0.53666800,0.02868740
-18.73572276,0.53666800,0.02868740
-18.71524276,0.53666800,0.02868740
-18.69476276,0.53666800,0.02868740
-18.67428276,0.53666800,0.02868740
-18.65380276,0.53666800,0.02868740
-18.63332276,0.53666800,0.02868740
-18.61284276,0.53666800,0.02868740
-18.59236276,0.53666800,0.02868740
-18.57188276,0.53666800,0.02868740
-18.55140276,0.53666800,0.07309183
-18.53092276,0.53666800,0.02868740
-18.51044276,0.53666800,0.02868740
-18.48996276,0.53666800,0.02868740
-18.46948276,0.53666800,0.07309183
-18.44900276,0.53666800,0.02868740
-18.42852276,0.53666800,0.02868740
-18.40804276,0.53666800,0.02868740
-18.38756276,0.53666800,0.02868740
-18.36708276,0.53666800,0.07309183
-18.34660276,0.53666800,0.02868740
-18.32612276,0.53666800,0.02868740
-18.30564276,0.53666800,0.02868740
-18.28516276,0.53666800,0.02868740
-18.26468276,0.53666800,0.02868740
-18.24420276,0.53666800,0.02868740
-18.22372276,0.53666800,0.02868740
-18.20324276,0.53666800,0.07309183
-18.18276276,0.53666800,0.07309183
-18.16228276,1.56117400,0.02868740
-18.14180276,1.56117400,0.02868740
-18.12132276,1.56117400,0.02868740
-18.10084276,1.56117400,0.07309183
-18.08036276,1.56117400,0.02868740
-18.05988276,1.56117400,0.02868740
-18.03940276,1.56117400,0.02868740
-18.01892276,1.56117400,0.02868740
-17.99844276,1.56117400,0.02868740
-17.97796276,1.56117400,0.02868740
-17.95748276,1.56117400,0.02868740
-17.93700276,1.56117400,0.02868740
-17.91652276,1.56117400,0.02868740
-17.89604276,1.56117400,0.02868740
-17.87556276,1.56117400,0.02868740
-17.85508276,1.56117400,0.02868740
-17.83460276,1.56117400,0.07309183
-17.81412276,1.56117400,0.02868740
-17.79364276,1.56117400,0.07309183
-17.77316276,1.56117400,0.07309183
-17.75268276,1.56117400,0.02868740
-17.73220276,1.56117400,0.02868740
-17.71172276,1.56117400,0.02868740
-17.69124276,1.56117400,0.02868740
-17.67076276,1.56117400,0.02868740
-17.65028276,1.56117400,0.02868740
-17.62980276,1.56117400,0.02868740
-17.60932276,1.56117400,0.07309183
