Model,MDO4054C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0004
Horizontal Delay,-3e-06
Sample Interval,4e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-0.44
,
,
,
Label,
TIME,CH1
-2.0030e-03,0.08
-2.0026e-03,0
-2.0022e-03,0.04
-2.0018e-03,0
-2.0014e-03,0
-2.0010e-03,0
-2.0006e-03,0
-2.0002e-03,0.04
-1.9998e-03,-0.04
-1.9994e-03,0.04
-1.9990e-03,0.08
-1.9986e-03,0.04
-1.9982e-03,0.12
-1.9978e-03,0
-1.9974e-03,0.04
-1.9970e-03,0
-1.9966e-03,0
-1.9962e-03,0.04
-1.9958e-03,0
-1.9954e-03,0
-1.9950e-03,0.04
-1.9946e-03,0
-1.9942e-03,0.08
-1.9938e-03,0.08
-1.9934e-03,0
-1.9930e-03,0.04
-1.9926e-03,0.08
-1.9922e-03,0
-1.9918e-03,0
-1.9914e-03,0.04
-1.9910e-03,0.04
-1.9906e-03,0.08
-1.9902e-03,0.04
-1.9898e-03,0
-1.9894e-03,0.04
-1.9890e-03,0.08
-1.9886e-03,0.08
-1.9882e-03,0.04
-1.9878e-03,0.04
-1.9874e-03,0
-1.9870e-03,0.04
-1.9866e-03,0.04
-1.9862e-03,0
-1.9858e-03,0
-1.9854e-03,0.04
-1.9850e-03,0.04
-1.9846e-03,0
-1.9842e-03,0
-1.9838e-03,0
-1.9834e-03,0
-1.9830e-03,0.08
-1.9826e-03,0.04
-1.9822e-03,0.04
-1.9818e-03,0
-1.9814e-03,0.04
-1.9810e-03,0.04
-1.9806e-03,0
-1.9802e-03,0
-1.9798e-03,0.04
-1.9794e-03,-0.04
-1.9790e-03,0.04
-1.9786e-03,0.04
-1.9782e-03,0.04
-1.9778e-03,0.08
-1.9774e-03,0.04
-1.9770e-03,0.08
-1.9766e-03,0.08
-1.9762e-03,0.04
-1.9758e-03,0
-1.9754e-03,0
-1.9750e-03,0
-1.9746e-03,0.04
-1.9742e-03,0
-1.9738e-03,0.04
-1.9734e-03,0
-1.9730e-03,0.04
-1.9726e-03,0.04
-1.9722e-03,0.04
-1.9718e-03,0.04
-1.9714e-03,0.04
-1.9710e-03,0
-1.9706e-03,0
-1.9702e-03,0.04
-1.9698e-03,0.04
-1.9694e-03,0.04
-1.9690e-03,0.08
-1.9686e-03,0
-1.9682e-03,0
-1.9678e-03,0.04
-1.9674e-03,0.04
-1.9670e-03,0
-1.9666e-03,-0.04
-1.9662e-03,0
-1.9658e-03,-0.04
-1.9654e-03,0
-1.9650e-03,0.04
-1.9646e-03,0.08
-1.9642e-03,0.04
-1.9638e-03,0
-1.9634e-03,0
-1.9630e-03,0.04
-1.9626e-03,0.04
-1.9622e-03,0.04
-1.9618e-03,0
-1.9614e-03,0
-1.9610e-03,0
-1.9606e-03,0.08
-1.9602e-03,0.04
-1.9598e-03,0.08
-1.9594e-03,0
-1.9590e-03,0.04
