Model,MDO4054C
-1.9586e-03,0
-1.9582e-03,0.04
-1.9578e-03,0.04
-1.9574e-03,0.04
-1.9570e-03,0.04
-1.9566e-03,0.04
-1.9562e-03,0.08
-1.9558e-03,0.08
-1.9554e-03,0.08
-1.9550e-03,0.04
-1.9546e-03,0
-1.9542e-03,0
-1.9538e-03,0
-1.9534e-03,0.08
-1.9530e-03,0.04
-1.9526e-03,0.08
-1.9522e-03,0
-1.9518e-03,0.04
-1.9514e-03,0.04
-1.9510e-03,0.04
-1.9506e-03,0.04
-1.9502e-03,0
-1.9498e-03,0.04
-1.9494e-03,0.04
-1.9490e-03,0.04
-1.9486e-03,0
-1.9482e-03,0
-1.9478e-03,0.04
-1.9474e-03,0.04
-1.9470e-03,0
-1.9466e-03,0.08
-1.9462e-03,0.04
-1.9458e-03,0.04
-1.9454e-03,0.04
-1.9450e-03,0
-1.9446e-03,0.04
-1.9442e-03,0.04
-1.9438e-03,0.04
-1.9434e-03,0
-1.9430e-03,0.04
-1.9426e-03,0
-1.9422e-03,0.04
-1.9418e-03,0.04
-1.9414e-03,0
-1.9410e-03,0.04
-1.9406e-03,0.08
-1.9402e-03,0.08
-1.9398e-03,0
-1.9394e-03,0.04
-1.9390e-03,0.04
-1.9386e-03,0.04
-1.9382e-03,0.04
-1.9378e-03,0.08
-1.9374e-03,0.04
-1.9370e-03,0.04
-1.9366e-03,0
-1.9362e-03,0.08
-1.9358e-03,0.08
-1.9354e-03,0.04
-1.9350e-03,0.04
-1.9346e-03,0.08
-1.9342e-03,0.08
-1.9338e-03,0.08
-1.9334e-03,0.04
-1.9330e-03,0
-1.9326e-03,0.04
-1.9322e-03,0
-1.9318e-03,0
-1.9314e-03,0.04
-1.9310e-03,-0.04
-1.9306e-03,0.04
-1.9302e-03,0.04
-1.9298e-03,0.04
-1.9294e-03,0.04
-1.9290e-03,0.04
-1.9286e-03,0.04
-1.9282e-03,0
-1.9278e-03,0.04
-1.9274e-03,0.04
-1.9270e-03,0
-1.9266e-03,0.08
-1.9262e-03,0
-1.9258e-03,0.04
-1.9254e-03,0
-1.9250e-03,0
-1.9246e-03,0.04
-1.9242e-03,0
-1.9238e-03,0
-1.9234e-03,0.04
-1.9230e-03,0.04
-1.9226e-03,0.04
-1.9222e-03,0
-1.9218e-03,0.04
-1.9214e-03,0.04
-1.9210e-03,0.04
-1.9206e-03,0.08
-1.9202e-03,0.04
-1.9198e-03,0.04
-1.9194e-03,0.04
-1.9190e-03,0.04
-1.9186e-03,0.04
-1.9182e-03,0.04
-1.9178e-03,0
-1.9174e-03,0.04
-1.9170e-03,0.08
-1.9166e-03,0
-1.9162e-03,0.08
-1.9158e-03,0.04
-1.9154e-03,-0.04
-1.9150e-03,0.04
-1.9146e-03,0.04
-1.9142e-03,0
-1.9138e-03,0.08
-1.9134e-03,0.12
-1.9130e-03,0.04
-1.9126e-03,0.08
-1.9122e-03,0.04
-1.9118e-03,0.04
-1.9114e-03,0.04
-1.9110e-03,0.04
-1.9106e-03,0.04
-1.9102e-03,0.04
-1.9098e-03,0
-1.9094e-03,-0.04
-1.9090e-03,0
-1.9086e-03,0.04
-1.9082e-03,0.04
-1.9078e-03,0
-1.9074e-03,0.04
-1.9070e-03,0.04
-1.9066e-03,0.08
-1.9062e-03,0
-1.9058e-03,0
-1.9054e-03,0
-1.9050e-03,0.08
-1.9046e-03,0.04
-1.9042e-03,0.04
-1.9038e-03,0.04
-1.9034e-03,-0.04
-1.9030e-03,0
-1.9026e-03,-0.04
-1.9022e-03,-0.04
-1.9018e-03,-0.04
-1.9014e-03,0
-1.9010e-03,0
-1.9006e-03,0.04
-1.9002e-03,0.04
-1.8998e-03,0.04
-1.8994e-03,0
-1.8990e-03,0
-1.8986e-03,0
-1.8982e-03,0.04
-1.8978e-03,0.04
-1.8974e-03,0
-1.8970e-03,0.04
-1.8966e-03,0.04
-1.8962e-03,0.04
-1.8958e-03,-0.04
-1.8954e-03,0
-1.8950e-03,0
-1.8946e-03,0
-1.8942e-03,0.04
-1.8938e-03,0.04
-1.8934e-03,0.04
-1.8930e-03,0
-1.8926e-03,0
-1.8922e-03,0.08
-1.8918e-03,0.04
-1.8914e-03,0.04
-1.8910e-03,0.04
-1.8906e-03,0
-1.8902e-03,0.04
-1.8898e-03,0
-1.8894e-03,0.04
-1.8890e-03,0
-1.8886e-03,0.04
-1.8882e-03,0.04
-1.8878e-03,0.04
-1.8874e-03,0.04
-1.8870e-03,0
-1.8866e-03,0
-1.8862e-03,0
-1.8858e-03,0.04
-1.8854e-03,0
-1.8850e-03,0.04
-1.8846e-03,0.04
-1.8842e-03,0
-1.8838e-03,0.04
-1.8834e-03,-0.04
-1.8830e-03,0
-1.8826e-03,0.04
-1.8822e-03,0
-1.8818e-03,0.04
-1.8814e-03,0.04
-1.8810e-03,0.08
-1.8806e-03,0.08
-1.8802e-03,0.08
-1.8798e-03,0.08
-1.8794e-03,0.04
-1.8790e-03,0
-1.8786e-03,0
-1.8782e-03,0.04
-1.8778e-03,0
-1.8774e-03,0
-1.8770e-03,0.08
-1.8766e-03,0.04
-1.8762e-03,0
-1.8758e-03,0
-1.8754e-03,0
-1.8750e-03,0.04
-1.8746e-03,0.04
-1.8742e-03,0
-1.8738e-03,0
-1.8734e-03,0.04
-1.8730e-03,0
-1.8726e-03,0
-1.8722e-03,0.04
-1.8718e-03,0.04
-1.8714e-03,0.04
-1.8710e-03,0.04
-1.8706e-03,0.04
-1.8702e-03,0.04
-1.8698e-03,0.04
-1.8694e-03,0
-1.8690e-03,0
-1.8686e-03,0.04
-1.8682e-03,0.04
-1.8678e-03,0.04
-1.8674e-03,0.08
-1.8670e-03,0.04
-1.8666e-03,0.08
-1.8662e-03,0.08
-1.8658e-03,0.04
-1.8654e-03,0.04
-1.8650e-03,0.04
-1.8646e-03,0
-1.8642e-03,0
-1.8638e-03,0
-1.8634e-03,0.04
-1.8630e-03,0
-1.8626e-03,0.04
-1.8622e-03,0
-1.8618e-03,0.04
-1.8614e-03,0
-1.8610e-03,0.04
-1.8606e-03,0.04
-1.8602e-03,0.08
-1.8598e-03,0
-1.8594e-03,0.04
-1.8590e-03,0.04
-1.8586e-03,0
-1.8582e-03,0
-1.8578e-03,0.08
-1.8574e-03,0.08
-1.8570e-03,0
-1.8566e-03,0
-1.8562e-03,0.04
-1.8558e-03,0.04
-1.8554e-03,0.04
-1.8550e-03,0.04
-1.8546e-03,0
-1.8542e-03,0.08
-1.8538e-03,0.04
-1.8534e-03,0
-1.8530e-03,0
-1.8526e-03,0
-1.8522e-03,0.12
-1.8518e-03,0
-1.8514e-03,0.04
-1.8510e-03,0
-1.8506e-03,0
-1.8502e-03,0.04
-1.8498e-03,0.04
-1.8494e-03,0.04
-1.8490e-03,0
-1.8486e-03,0.04
-1.8482e-03,0.08
-1.8478e-03,0.04
-1.8474e-03,0.04
-1.8470e-03,0.04
-1.8466e-03,0.04
-1.8462e-03,0.04
-1.8458e-03,0.04
-1.8454e-03,0
-1.8450e-03,0.04
-1.8446e-03,-0.04
-1.8442e-03,0
-1.8438e-03,0.04
-1.8434e-03,0
-1.8430e-03,0.04
-1.8426e-03,0
-1.8422e-03,0.04
-1.8418e-03,0
-1.8414e-03,0.04
-1.8410e-03,-0.04
-1.8406e-03,-0.04
-1.8402e-03,0
-1.8398e-03,0.04
-1.8394e-03,0.04
-1.8390e-03,0.08
-1.8386e-03,0.04
-1.8382e-03,0.04
-1.8378e-03,0.08
-1.8374e-03,0.04
-1.8370e-03,0.08
-1.8366e-03,0
-1.8362e-03,0.08
-1.8358e-03,0.04
-1.8354e-03,0
-1.8350e-03,0.04
-1.8346e-03,0.04
-1.8342e-03,0.04
-1.8338e-03,0.04
-1.8334e-03,0
-1.8330e-03,0.04
-1.8326e-03,0.04
-1.8322e-03,0.04
-1.8318e-03,0.04
-1.8314e-03,0
-1.8310e-03,0.08
-1.8306e-03,0.04
-1.8302e-03,0.04
-1.8298e-03,0
-1.8294e-03,0.04
-1.8290e-03,0
-1.8286e-03,0.04
-1.8282e-03,0.04
-1.8278e-03,0.08
-1.8274e-03,0
-1.8270e-03,0.04
-1.8266e-03,0
-1.8262e-03,0
-1.8258e-03,0
-1.8254e-03,0
-1.8250e-03,0
-1.8246e-03,0.04
-1.8242e-03,0
-1.8238e-03,0.04
-1.8234e-03,-0.04
-1.8230e-03,0
-1.8226e-03,0
-1.8222e-03,0
-1.8218e-03,0
-1.8214e-03,0
-1.8210e-03,0
-1.8206e-03,0.04
-1.8202e-03,0.04
-1.8198e-03,0.04
-1.8194e-03,0
-1.8190e-03,-0.04
-1.8186e-03,0.04
-1.8182e-03,0
-1.8178e-03,0.04
-1.8174e-03,0.04
-1.8170e-03,0.04
-1.8166e-03,0.04
-1.8162e-03,0.08
-1.8158e-03,0.04
-1.8154e-03,0.08
-1.8150e-03,0.04
-1.8146e-03,0.04
-1.8142e-03,0
-1.8138e-03,0.04
-1.8134e-03,0.08
-1.8130e-03,0.04
-1.8126e-03,0
-1.8122e-03,0.08
-1.8118e-03,0.04
-1.8114e-03,0
-1.8110e-03,0.04
-1.8106e-03,0.08
-1.8102e-03,0.04
-1.8098e-03,0.04
-1.8094e-03,0.04
-1.8090e-03,0.04
-1.8086e-03,0.08
-1.8082e-03,0.04
-1.8078e-03,0.04
-1.8074e-03,0.04
-1.8070e-03,0.04
-1.8066e-03,0.04
-1.8062e-03,0.04
-1.8058e-03,0.04
-1.8054e-03,0.08
-1.8050e-03,0.04
-1.8046e-03,0
-1.8042e-03,-0.04
-1.8038e-03,0.04
-1.8034e-03,0.08
-1.8030e-03,0
-1.8026e-03,0.04
-1.8022e-03,-0.04
-1.8018e-03,0
-1.8014e-03,0
-1.8010e-03,0.08
-1.8006e-03,0.04
-1.8002e-03,0.08
-1.7998e-03,0
-1.7994e-03,0
-1.7990e-03,0.04
-1.7986e-03,0.08
-1.7982e-03,0
-1.7978e-03,0
-1.7974e-03,0
-1.7970e-03,0.08
-1.7966e-03,0.04
-1.7962e-03,0.04
-1.7958e-03,0.04
-1.7954e-03,0.04
-1.7950e-03,0.08
-1.7946e-03,0.04
-1.7942e-03,0.08
-1.7938e-03,0
-1.7934e-03,0
-1.7930e-03,0.04
-1.7926e-03,0.04
-1.7922e-03,0.04
-1.7918e-03,0.04
-1.7914e-03,0.04
-1.7910e-03,0.04
-1.7906e-03,0
-1.7902e-03,0.04
-1.7898e-03,-0.04
-1.7894e-03,-0.04
-1.7890e-03,0.04
-1.7886e-03,0
-1.7882e-03,0.04
-1.7878e-03,-0.04
-1.7874e-03,0
-1.7870e-03,0
-1.7866e-03,0.08
-1.7862e-03,0.04
-1.7858e-03,0.04
-1.7854e-03,0
-1.7850e-03,0.04
-1.7846e-03,0
-1.7842e-03,-0.04
-1.7838e-03,0.04
-1.7834e-03,0.04
-1.7830e-03,0.04
-1.7826e-03,0
-1.7822e-03,0.04
-1.7818e-03,0.04
-1.7814e-03,0.04
-1.7810e-03,0
-1.7806e-03,0.08
-1.7802e-03,0
-1.7798e-03,-0.08
-1.7794e-03,0.04
-1.7790e-03,0.04
-1.7786e-03,0
-1.7782e-03,0
-1.7778e-03,0.08
-1.7774e-03,0.04
-1.7770e-03,0
-1.7766e-03,0.08
-1.7762e-03,0
-1.7758e-03,0
-1.7754e-03,0.04
-1.7750e-03,0.08
-1.7746e-03,0
-1.7742e-03,0.08
-1.7738e-03,0.08
-1.7734e-03,0.12
-1.7730e-03,0.04
-1.7726e-03,0.04
-1.7722e-03,0.04
-1.7718e-03,0.04
-1.7714e-03,0.04
-1.7710e-03,0
-1.7706e-03,0.04
-1.7702e-03,0.04
-1.7698e-03,0.04
-1.7694e-03,0.04
-1.7690e-03,0
-1.7686e-03,0
-1.7682e-03,0
-1.7678e-03,0.04
-1.7674e-03,0.04
-1.7670e-03,0.04
-1.7666e-03,0.04
-1.7662e-03,0.04
-1.7658e-03,0.04
-1.7654e-03,0.04
-1.7650e-03,0
-1.7646e-03,0.04
-1.7642e-03,0.04
-1.7638e-03,0.04
-1.7634e-03,0
-1.7630e-03,0.04
-1.7626e-03,0.04
-1.7622e-03,0
-1.7618e-03,0
-1.7614e-03,0.04
-1.7610e-03,0
-1.7606e-03,0.04
-1.7602e-03,0.04
-1.7598e-03,0
-1.7594e-03,0
-1.7590e-03,0.04
-1.7586e-03,0
-1.7582e-03,0.08
-1.7578e-03,0.04
-1.7574e-03,0.08
-1.7570e-03,0
-1.7566e-03,0.08
-1.7562e-03,0.12
-1.7558e-03,0.04
-1.7554e-03,0.08
-1.7550e-03,0.04
-1.7546e-03,0
-1.7542e-03,0.04
-1.7538e-03,0
-1.7534e-03,0.04
-1.7530e-03,0
-1.7526e-03,-0.04
-1.7522e-03,0.04
-1.7518e-03,0.04
-1.7514e-03,0
-1.7510e-03,0.04
-1.7506e-03,-0.04
-1.7502e-03,0.08
-1.7498e-03,0
-1.7494e-03,0.04
-1.7490e-03,0.04
-1.7486e-03,0.04
-1.7482e-03,0.08
-1.7478e-03,0
-1.7474e-03,0.04
-1.7470e-03,0.08
-1.7466e-03,0
-1.7462e-03,0.04
-1.7458e-03,0
-1.7454e-03,0.04
-1.7450e-03,0.04
-1.7446e-03,0.04
-1.7442e-03,0.04
-1.7438e-03,0.04
-1.7434e-03,0
-1.7430e-03,0.04
-1.7426e-03,0.04
-1.7422e-03,0
-1.7418e-03,0.04
-1.7414e-03,0.04
-1.7410e-03,0.04
-1.7406e-03,0.12
-1.7402e-03,0.08
-1.7398e-03,0.08
-1.7394e-03,0
-1.7390e-03,0.04
-1.7386e-03,0
-1.7382e-03,0.04
-1.7378e-03,0
-1.7374e-03,0
-1.7370e-03,0.04
-1.7366e-03,0.04
-1.7362e-03,0.04
-1.7358e-03,0.04
-1.7354e-03,0.08
-1.7350e-03,0.08
-1.7346e-03,0.04
-1.7342e-03,0
-1.7338e-03,0.04
-1.7334e-03,0.04
-1.7330e-03,0.08
-1.7326e-03,0.04
-1.7322e-03,0
-1.7318e-03,0.04
-1.7314e-03,0
-1.7310e-03,0.04
-1.7306e-03,0.04
-1.7302e-03,0.08
-1.7298e-03,0
-1.7294e-03,-0.04
-1.7290e-03,0.04
-1.7286e-03,0.04
-1.7282e-03,0.04
-1.7278e-03,0.04
-1.7274e-03,0
-1.7270e-03,0.04
-1.7266e-03,0.08
-1.7262e-03,0.04
-1.7258e-03,0.04
-1.7254e-03,0
-1.7250e-03,0.04
-1.7246e-03,0
-1.7242e-03,0.08
-1.7238e-03,0.04
-1.7234e-03,0
-1.7230e-03,0
-1.7226e-03,0.04
-1.7222e-03,0.04
-1.7218e-03,0
-1.7214e-03,0
-1.7210e-03,0.08
-1.7206e-03,0.04
-1.7202e-03,0
-1.7198e-03,0
-1.7194e-03,0
-1.7190e-03,0.04
-1.7186e-03,-0.04
-1.7182e-03,-0.04
-1.7178e-03,0.04
-1.7174e-03,0
-1.7170e-03,0.04
-1.7166e-03,0.04
-1.7162e-03,0.04
-1.7158e-03,-0.04
-1.7154e-03,0.04
-1.7150e-03,0
-1.7146e-03,0
-1.7142e-03,0
-1.7138e-03,0
-1.7134e-03,0.04
-1.7130e-03,0.04
-1.7126e-03,0.04
-1.7122e-03,0.04
-1.7118e-03,0
-1.7114e-03,0.04
-1.7110e-03,0.04
-1.7106e-03,0.04
-1.7102e-03,0.04
-1.7098e-03,0
-1.7094e-03,0
-1.7090e-03,0
-1.7086e-03,0
-1.7082e-03,-0.04
-1.7078e-03,0.04
-1.7074e-03,0
-1.7070e-03,0
-1.7066e-03,0.04
-1.7062e-03,0.08
-1.7058e-03,0.04
-1.7054e-03,0.04
-1.7050e-03,-0.04
-1.7046e-03,0.04
-1.7042e-03,0
-1.7038e-03,0.04
-1.7034e-03,0.04
-1.7030e-03,0
-1.7026e-03,0
-1.7022e-03,0.04
-1.7018e-03,0.04
-1.7014e-03,0
-1.7010e-03,0
-1.7006e-03,0
-1.7002e-03,0.04
-1.6998e-03,0
-1.6994e-03,0.08
-1.6990e-03,0.04
-1.6986e-03,0.08
-1.6982e-03,0.08
-1.6978e-03,0.04
-1.6974e-03,0.04
-1.6970e-03,0.04
-1.6966e-03,0.04
-1.6962e-03,0
-1.6958e-03,-0.04
-1.6954e-03,0
-1.6950e-03,0
-1.6946e-03,0.04
-1.6942e-03,0.04
-1.6938e-03,0
-1.6934e-03,0
-1.6930e-03,0
-1.6926e-03,0
-1.6922e-03,0.04
-1.6918e-03,0.04
-1.6914e-03,0.04
-1.6910e-03,0.04
-1.6906e-03,0
-1.6902e-03,0.04
-1.6898e-03,0
-1.6894e-03,0
-1.6890e-03,0.08
-1.6886e-03,0.08
-1.6882e-03,0.04
-1.6878e-03,0
-1.6874e-03,0
-1.6870e-03,0
-1.6866e-03,0
-1.6862e-03,0
-1.6858e-03,0.04
-1.6854e-03,0.04
-1.6850e-03,0.04
-1.6846e-03,0
-1.6842e-03,0.04
-1.6838e-03,0.04
-1.6834e-03,0.04
-1.6830e-03,0.04
-1.6826e-03,0
-1.6822e-03,0.04
-1.6818e-03,0
-1.6814e-03,0.04
-1.6810e-03,0
-1.6806e-03,0.04
-1.6802e-03,0.04
-1.6798e-03,0
-1.6794e-03,0.04
-1.6790e-03,0.04
-1.6786e-03,0
-1.6782e-03,0
-1.6778e-03,0.04
-1.6774e-03,0.04
-1.6770e-03,0
-1.6766e-03,-0.04
-1.6762e-03,0
-1.6758e-03,-0.04
-1.6754e-03,0.08
-1.6750e-03,0.08
-1.6746e-03,0.08
-1.6742e-03,0.04
-1.6738e-03,0.04
-1.6734e-03,0.04
-1.6730e-03,0
-1.6726e-03,0.04
-1.6722e-03,0.04
-1.6718e-03,0.04
-1.6714e-03,0.04
-1.6710e-03,0
-1.6706e-03,0.08
-1.6702e-03,0.04
-1.6698e-03,0
-1.6694e-03,0
-1.6690e-03,0
-1.6686e-03,0
-1.6682e-03,0
-1.6678e-03,0.08
-1.6674e-03,0.04
-1.6670e-03,0.08
-1.6666e-03,0.04
-1.6662e-03,0
-1.6658e-03,0
-1.6654e-03,0.08
-1.6650e-03,0.04
-1.6646e-03,0.04
-1.6642e-03,0.04
-1.6638e-03,0.08
-1.6634e-03,0.08
-1.6630e-03,0
-1.6626e-03,0.04
-1.6622e-03,0.04
-1.6618e-03,0.04
-1.6614e-03,0.04
-1.6610e-03,0.04
-1.6606e-03,0.08
-1.6602e-03,0.04
-1.6598e-03,0.08
-1.6594e-03,0.08
-1.6590e-03,0.04
-1.6586e-03,0.04
-1.6582e-03,0.04
-1.6578e-03,0
-1.6574e-03,0.04
-1.6570e-03,0
-1.6566e-03,0
-1.6562e-03,0.04
-1.6558e-03,0.04
-1.6554e-03,0.04
-1.6550e-03,0.04
-1.6546e-03,0.04
-1.6542e-03,0
-1.6538e-03,0.08
-1.6534e-03,0.04
-1.6530e-03,0
-1.6526e-03,0.04
-1.6522e-03,0.04
-1.6518e-03,0.04
-1.6514e-03,0.04
-1.6510e-03,0.12
-1.6506e-03,0.04
-1.6502e-03,0.04
-1.6498e-03,0.04
-1.6494e-03,0.08
-1.6490e-03,0.08
-1.6486e-03,0.08
-1.6482e-03,0
-1.6478e-03,0
-1.6474e-03,0.04
-1.6470e-03,-0.04
-1.6466e-03,0.04
-1.6462e-03,0
-1.6458e-03,0.04
-1.6454e-03,0.04
-1.6450e-03,0
-1.6446e-03,0
-1.6442e-03,0
-1.6438e-03,0
-1.6434e-03,0.04
-1.6430e-03,0
-1.6426e-03,0
-1.6422e-03,0.04
-1.6418e-03,0.04
-1.6414e-03,0.04
-1.6410e-03,0.04
-1.6406e-03,0
-1.6402e-03,0.08
-1.6398e-03,0.04
-1.6394e-03,0.04
-1.6390e-03,0
-1.6386e-03,0
-1.6382e-03,0
-1.6378e-03,0
-1.6374e-03,0.04
-1.6370e-03,0.04
-1.6366e-03,0
-1.6362e-03,0.04
-1.6358e-03,0.04
-1.6354e-03,0.04
-1.6350e-03,0.04
-1.6346e-03,0.04
-1.6342e-03,0
-1.6338e-03,-0.04
-1.6334e-03,0
-1.6330e-03,0
-1.6326e-03,0.04
-1.6322e-03,0.08
-1.6318e-03,0.08
-1.6314e-03,0.04
-1.6310e-03,0.04
-1.6306e-03,0.04
-1.6302e-03,0.04
-1.6298e-03,0
-1.6294e-03,0.04
-1.6290e-03,0
-1.6286e-03,0.04
-1.6282e-03,0.04
-1.6278e-03,0.04
-1.6274e-03,0.04
-1.6270e-03,0.04
-1.6266e-03,0.04
-1.6262e-03,0.04
-1.6258e-03,0.04
-1.6254e-03,0.04
-1.6250e-03,0
-1.6246e-03,0.04
-1.6242e-03,0.04
-1.6238e-03,0.08
-1.6234e-03,0.08
-1.6230e-03,0
-1.6226e-03,0.08
-1.6222e-03,0.12
-1.6218e-03,0.04
-1.6214e-03,0.08
-1.6210e-03,0
-1.6206e-03,0
-1.6202e-03,0.04
-1.6198e-03,0
-1.6194e-03,0
-1.6190e-03,0
-1.6186e-03,0
-1.6182e-03,0
-1.6178e-03,0.04
-1.6174e-03,0.04
-1.6170e-03,0
-1.6166e-03,0.08
-1.6162e-03,0
-1.6158e-03,0.04
-1.6154e-03,0
-1.6150e-03,-0.04
-1.6146e-03,0
-1.6142e-03,0.04
-1.6138e-03,0.04
-1.6134e-03,0
-1.6130e-03,0.04
-1.6126e-03,0
-1.6122e-03,0.04
-1.6118e-03,-0.04
-1.6114e-03,0.04
-1.6110e-03,0
-1.6106e-03,0.04
-1.6102e-03,0.04
-1.6098e-03,0.04
-1.6094e-03,0.08
-1.6090e-03,0.04
-1.6086e-03,-0.04
-1.6082e-03,0
-1.6078e-03,0.04
-1.6074e-03,0.04
-1.6070e-03,0.04
-1.6066e-03,0.04
-1.6062e-03,0
-1.6058e-03,0
-1.6054e-03,0.04
-1.6050e-03,0
-1.6046e-03,0
-1.6042e-03,0
-1.6038e-03,0
-1.6034e-03,0.04
-1.6030e-03,0.04
-1.6026e-03,0.04
-1.6022e-03,0
-1.6018e-03,0.08
-1.6014e-03,0.04
-1.6010e-03,0.04
-1.6006e-03,0.04
-1.6002e-03,0
-1.5998e-03,0.04
-1.5994e-03,0.04
-1.5990e-03,0.04
-1.5986e-03,0.04
-1.5982e-03,0.04
-1.5978e-03,0.04
-1.5974e-03,0.04
-1.5970e-03,0.04
-1.5966e-03,0
-1.5962e-03,0.04
-1.5958e-03,0.04
-1.5954e-03,0
-1.5950e-03,0.04
-1.5946e-03,0.08
-1.5942e-03,0.04
-1.5938e-03,0
-1.5934e-03,0.08
-1.5930e-03,0.04
-1.5926e-03,0.04
-1.5922e-03,0
-1.5918e-03,0.04
-1.5914e-03,0
-1.5910e-03,0.04
-1.5906e-03,0.08
-1.5902e-03,0.08
-1.5898e-03,0.04
-1.5894e-03,0.08
-1.5890e-03,0.04
-1.5886e-03,0
-1.5882e-03,0.04
-1.5878e-03,-0.04
-1.5874e-03,0
-1.5870e-03,0
-1.5866e-03,0.04
-1.5862e-03,0.04
-1.5858e-03,0
-1.5854e-03,0.04
-1.5850e-03,0.08
-1.5846e-03,0.08
-1.5842e-03,0.04
-1.5838e-03,0
-1.5834e-03,0
-1.5830e-03,0
-1.5826e-03,0.04
-1.5822e-03,0
-1.5818e-03,0
-1.5814e-03,0
-1.5810e-03,0.04
-1.5806e-03,0.04
-1.5802e-03,0.08
-1.5798e-03,0.08
-1.5794e-03,0.04
-1.5790e-03,0.04
-1.5786e-03,0.08
-1.5782e-03,0.04
-1.5778e-03,0
-1.5774e-03,0.08
-1.5770e-03,0.04
-1.5766e-03,0
-1.5762e-03,0.04
-1.5758e-03,0.04
-1.5754e-03,0.04
-1.5750e-03,0.04
-1.5746e-03,0.04
-1.5742e-03,0.08
-1.5738e-03,0
-1.5734e-03,0
-1.5730e-03,0.04
-1.5726e-03,0.04
-1.5722e-03,0
-1.5718e-03,0
-1.5714e-03,0.04
-1.5710e-03,0.04
-1.5706e-03,0
-1.5702e-03,0
-1.5698e-03,0
-1.5694e-03,-0.08
-1.5690e-03,0
-1.5686e-03,-0.04
-1.5682e-03,-0.04
-1.5678e-03,0.04
-1.5674e-03,0.04
-1.5670e-03,0
-1.5666e-03,0.04
-1.5662e-03,0.04
-1.5658e-03,0.04
-1.5654e-03,0.04
-1.5650e-03,0.08
-1.5646e-03,0.04
-1.5642e-03,0.08
-1.5638e-03,0
-1.5634e-03,0.04
-1.5630e-03,0.04
-1.5626e-03,0
-1.5622e-03,0
-1.5618e-03,0.04
-1.5614e-03,0.04
-1.5610e-03,0.04
-1.5606e-03,0.04
-1.5602e-03,0.08
-1.5598e-03,0
-1.5594e-03,0
-1.5590e-03,0.08
-1.5586e-03,0
-1.5582e-03,0.04
-1.5578e-03,0.08
