Time,Channel A,Channel B
(ms),(V),(V)

-20.04658990,0.53666800,0.02868740
-20.02610990,0.53666800,0.02868740
-20.00562990,0.53666800,0.02868740
-19.98514990,0.53666800,0.02868740
-19.96466990,0.53666800,0.02868740
-19.94418990,0.53666800,0.02868740
-19.92370990,0.53666800,0.07309183
-19.90322990,0.53666800,0.07309183
-19.88274990,0.53666800,0.02868740
-19.86226990,0.53666800,0.02868740
-19.84178990,0.53666800,0.02868740
-19.82130990,0.53666800,0.02868740
-19.80082990,0.53666800,0.07309183
-19.78034990,0.53666800,0.02868740
-19.75986990,0.53666800,0.02868740
-19.73938990,0.53666800,0.02868740
-19.71890990,0.53666800,0.02868740
-19.69842990,0.53666800,0.07309183
-19.67794990,0.53666800,0.02868740
-19.65746990,0.53666800,0.02868740
-19.63698990,0.53666800,0.02868740
-19.61650990,0.53666800,0.07309183
-19.59602990,0.53666800,0.02868740
-19.57554990,0.53666800,0.02868740
-19.55506990,0.53666800,0.02868740
-19.53458990,0.53666800,0.02868740
-19.51410990,0.53666800,0.07309183
-19.49362990,0.53666800,0.02868740
-19.47314990,0.53666800,0.02868740
-19.45266990,0.53666800,0.02868740
-19.43218990,0.53666800,0.02868740
-19.41170990,0.53666800,0.07309183
-19.39122990,0.53666800,0.07309183
-19.37074990,0.53666800,0.02868740
-19.35026990,0.53666800,0.02868740
-19.32978990,0.53666800,0.02868740
-19.30930990,0.53666800,0.02868740
-19.28882990,0.53666800,0.07309183
-19.26834990,0.53666800,0.02868740
-19.24786990,0.53666800,0.02868740
-19.22738990,0.53666800,0.02868740
-19.20690990,0.53666800,0.07309183
-19.18642990,0.53666800,0.02868740
-19.16594990,0.53666800,0.02868740
-19.14546990,0.53666800,0.02868740
-19.12498990,0.53666800,0.02868740
-19.10450990,0.53666800,0.07309183
-19.08402990,0.53666800,0.02868740
-19.06354990,0.53666800,0.07309183
-19.04306990,0.53666800,0.02868740
-19.02258990,0.53666800,0.07309183
-19.00210990,0.53666800,0.02868740
-18.98162990,0.53666800,0.07309183
-18.96114990,0.53666800,0.02868740
-18.94066990,0.53666800,0.02868740
-18.92018990,0.53666800,0.02868740
-18.89970990,0.53666800,0.02868740
-18.87922990,0.53666800,0.02868740
-18.85874990,0.53666800,0.02868740
-18.83826990,0.53666800,0.02868740
-18.81778990,0.53666800,0.02868740
-18.79730990,0.53666800,0.07309183
-18.77682990,0.53666800,0.02868740
-18.75634990,0.53666800,0.02868740
-18.73586990,0.53666800,0.07309183
-18.71538990,0.53666800,0.02868740
-18.69490990,0.53666800,0.02868740
-18.67442990,0.53666800,0.02868740
-18.65394990,0.53666800,0.07309183
-18.63346990,0.53666800,0.02868740
-18.61298990,0.53666800,0.02868740
-18.59250990,0.53666800,0.02868740
-18.57202991,0.53666800,0.02868740
-18.55154991,0.53666800,0.02868740
-18.53106991,0.53666800,0.07309183
-18.51058991,0.53666800,0.02868740
-18.49010991,0.53666800,0.07309183
-18.46962991,0.53666800,0.02868740
-18.44914991,0.53666800,0.02868740
-18.42866991,0.53666800,0.02868740
-18.40818991,0.53666800,0.02868740
-18.38770991,0.53666800,0.02868740
-18.36722991,0.53666800,0.02868740
-18.34674991,0.53666800,0.02868740
-18.32626991,0.53666800,0.02868740
-18.30578991,0.53666800,0.02868740
-18.28530991,0.53666800,0.02868740
-18.26482991,0.53666800,0.02868740
-18.24434991,0.53666800,0.02868740
-18.22386991,0.53666800,0.02868740
-18.20338991,0.53666800,0.07309183
-18.18290991,0.53666800,0.07309183
-18.16242991,0.53666800,0.07309183
-18.14194991,1.56117400,0.02868740
-18.12146991,1.56117400,0.02868740
-18.10098991,1.56117400,0.02868740
-18.08050991,1.56117400,0.02868740
-18.06002991,1.56117400,0.02868740
-18.03954991,1.56117400,0.02868740
-18.01906991,1.56117400,0.02868740
-17.99858991,1.56117400,0.02868740
-17.97810991,1.56117400,0.02868740
-17.95762991,1.56117400,0.02868740
-17.93714991,1.56117400,0.02868740
-17.91666991,1.56117400,0.02868740
-17.89618991,1.56117400,0.07309183
-17.87570991,1.56117400,0.07309183
-17.85522991,1.56117400,0.02868740
-17.83474991,1.56117400,0.02868740
-17.81426991,1.56117400,0.02868740
-17.79378991,1.56117400,0.07309183
-17.77330991,1.56117400,0.02868740
-17.75282991,1.56117400,0.02868740
-17.73234991,1.56117400,0.02868740
-17.71186991,1.56117400,0.07309183
-17.69138991,1.56117400,0.07309183
-17.67090991,1.56117400,0.07309183
-17.65042991,1.56117400,0.07309183
-17.62994991,1.56117400,0.02868740
-17.60946991,1.56117400,0.02868740
