Time,Channel A,Channel B
(ms),(V),(V)

-20.04694380,0.53666800,0.07309183
-20.02646380,0.53666800,0.02868740
-20.00598380,0.53666800,0.07309183
-19.98550380,0.53666800,0.02868740
-19.96502380,0.53666800,0.02868740
-19.94454380,0.53666800,0.02868740
-19.92406380,0.53666800,0.02868740
-19.90358380,0.53666800,0.02868740
-19.88310380,0.53666800,0.02868740
-19.86262380,0.53666800,0.02868740
-19.84214380,0.53666800,0.02868740
-19.82166380,0.53666800,0.02868740
-19.80118380,0.53666800,0.02868740
-19.78070380,0.53666800,0.02868740
-19.76022380,0.53666800,0.07309183
-19.73974380,0.53666800,0.02868740
-19.71926380,0.53666800,0.07309183
-19.69878380,0.53666800,0.02868740
-19.67830380,0.53666800,0.02868740
-19.65782380,0.53666800,0.02868740
-19.63734380,0.53666800,0.02868740
-19.61686380,0.53666800,0.07309183
-19.59638380,0.53666800,0.02868740
-19.57590380,0.53666800,0.02868740
-19.55542380,0.53666800,0.02868740
-19.53494380,0.53666800,0.02868740
-19.51446380,0.53666800,0.02868740
-19.49398380,0.53666800,0.02868740
-19.47350380,0.53666800,0.07309183
-19.45302380,0.53666800,0.07309183
-19.43254380,0.53666800,0.02868740
-19.41206380,0.53666800,0.02868740
-19.39158380,0.53666800,0.02868740
-19.37110380,0.53666800,0.07309183
-19.35062380,0.53666800,0.02868740
-19.33014380,0.53666800,0.07309183
-19.30966380,0.53666800,0.07309183
-19.28918380,0.53666800,0.02868740
-19.26870380,0.53666800,0.02868740
-19.24822380,0.53666800,0.02868740
-19.22774380,0.53666800,0.02868740
-19.20726380,0.53666800,0.02868740
-19.18678380,0.53666800,0.02868740
-19.16630380,0.53666800,0.02868740
-19.14582380,0.53666800,0.02868740
-19.12534380,0.53666800,0.02868740
-19.10486380,0.53666800,0.02868740
-19.08438380,0.53666800,0.02868740
-19.06390380,0.53666800,0.07309183
-19.04342380,0.53666800,0.02868740
-19.02294380,0.53666800,0.02868740
-19.00246381,0.53666800,0.07309183
-18.98198381,0.53666800,0.02868740
-18.96150381,0.53666800,0.02868740
-18.94102381,0.53666800,0.07309183
-18.92054381,0.53666800,0.07309183
-18.90006381,0.53666800,0.02868740
-18.87958381,0.53666800,0.07309183
-18.85910381,0.53666800,0.07309183
-18.83862381,0.53666800,0.02868740
-18.81814381,0.53666800,0.02868740
-18.79766381,0.53666800,0.02868740
-18.77718381,0.53666800,0.02868740
-18.75670381,0.53666800,0.02868740
-18.73622381,0.53666800,0.02868740
-18.71574381,0.53666800,0.07309183
-18.69526381,0.53666800,0.02868740
-18.67478381,0.53666800,0.07309183
-18.65430381,0.53666800,0.02868740
-18.63382381,0.53666800,0.07309183
-18.61334381,0.53666800,0.07309183
-18.59286381,0.53666800,0.02868740
-18.57238381,0.53666800,0.02868740
-18.55190381,0.53666800,0.02868740
-18.53142381,0.53666800,0.02868740
-18.51094381,0.53666800,0.02868740
-18.49046381,0.53666800,0.02868740
-18.46998381,0.53666800,0.02868740
-18.44950381,0.53666800,0.02868740
-18.42902381,0.53666800,0.02868740
-18.40854381,0.53666800,0.02868740
-18.38806381,0.53666800,0.02868740
-18.36758381,0.53666800,0.02868740
-18.34710381,0.53666800,0.02868740
-18.32662381,0.53666800,0.02868740
-18.30614381,0.53666800,0.02868740
-18.28566381,0.53666800,0.07309183
-18.26518381,0.53666800,0.02868740
-18.24470381,0.53666800,0.07309183
-18.22422381,0.53666800,0.02868740
-18.20374381,0.53666800,0.02868740
-18.18326381,0.53666800,0.02868740
-18.16278381,0.53666800,0.07309183
-18.14230381,0.53666800,0.07309183
-18.12182381,1.56117400,0.02868740
-18.10134381,1.56117400,0.02868740
-18.08086381,1.56117400,0.02868740
-18.06038381,1.56117400,0.02868740
-18.03990381,1.56117400,0.02868740
-18.01942381,1.56117400,0.07309183
-17.99894381,1.56117400,0.02868740
-17.97846381,1.56117400,0.02868740
-17.95798381,1.56117400,0.02868740
-17.93750381,1.56117400,0.02868740
-17.91702381,1.56117400,0.02868740
-17.89654381,1.56117400,0.02868740
-17.87606381,1.56117400,0.02868740
-17.85558381,1.56117400,0.02868740
-17.83510381,1.56117400,0.02868740
-17.81462381,1.56117400,0.07309183
-17.79414381,1.56117400,0.02868740
-17.77366381,1.56117400,0.02868740
-17.75318381,1.56117400,0.02868740
-17.73270381,1.56117400,0.02868740
-17.71222381,1.56117400,0.07309183
-17.69174381,1.56117400,0.02868740
-17.67126381,1.56117400,0.02868740
-17.65078381,1.56117400,0.02868740
-17.63030381,1.56117400,0.07309183
-17.60982381,1.56117400,0.02868740
