Time,Channel A,Channel B
(ms),(V),(V)

-20.04703693,0.53666800,0.02868740
-20.02655693,0.53666800,0.02868740
-20.00607693,0.53666800,0.02868740
-19.98559693,0.53666800,0.07309183
-19.96511693,0.53666800,0.02868740
-19.94463693,0.53666800,0.02868740
-19.92415693,0.53666800,0.02868740
-19.90367693,0.53666800,0.02868740
-19.88319693,0.53666800,0.02868740
-19.86271693,0.53666800,0.02868740
-19.84223693,0.53666800,0.02868740
-19.82175693,0.53666800,0.07309183
-19.80127693,0.53666800,0.02868740
-19.78079693,0.53666800,0.02868740
-19.76031693,0.53666800,0.02868740
-19.73983693,0.53666800,0.07309183
-19.71935693,0.53666800,0.07309183
-19.69887693,0.53666800,0.07309183
-19.67839693,0.53666800,0.07309183
-19.65791693,0.53666800,0.02868740
-19.63743693,0.53666800,0.02868740
-19.61695693,0.53666800,0.07309183
-19.59647693,0.53666800,0.02868740
-19.57599693,0.53666800,0.02868740
-19.55551693,0.53666800,0.02868740
-19.53503693,0.53666800,0.02868740
-19.51455693,0.53666800,0.02868740
-19.49407693,0.53666800,0.02868740
-19.47359693,0.53666800,0.02868740
-19.45311693,0.53666800,0.02868740
-19.43263693,0.53666800,0.02868740
-19.41215693,0.53666800,0.02868740
-19.39167693,0.53666800,0.07309183
-19.37119694,0.53666800,0.02868740
-19.35071694,0.53666800,0.02868740
-19.33023694,0.53666800,0.07309183
-19.30975694,0.53666800,0.02868740
-19.28927694,0.53666800,0.07309183
-19.26879694,0.53666800,0.02868740
-19.24831694,0.53666800,0.07309183
-19.22783694,0.53666800,0.02868740
-19.20735694,0.53666800,0.02868740
-19.18687694,0.53666800,0.02868740
-19.16639694,0.53666800,0.02868740
-19.14591694,0.53666800,0.07309183
-19.12543694,0.53666800,0.02868740
-19.10495694,0.53666800,0.07309183
-19.08447694,0.53666800,0.02868740
-19.06399694,0.53666800,0.02868740
-19.04351694,0.53666800,0.02868740
-19.02303694,0.53666800,0.07309183
-19.00255694,0.53666800,0.02868740
-18.98207694,0.53666800,0.02868740
-18.96159694,0.53666800,0.02868740
-18.94111694,0.53666800,0.07309183
-18.92063694,0.53666800,0.02868740
-18.90015694,0.53666800,0.02868740
-18.87967694,0.53666800,0.02868740
-18.85919694,0.53666800,0.02868740
-18.83871694,0.53666800,0.02868740
-18.81823694,0.53666800,0.02868740
-18.79775694,0.53666800,0.02868740
-18.77727694,0.53666800,0.02868740
-18.75679694,0.53666800,0.02868740
-18.73631694,0.53666800,0.02868740
-18.71583694,0.53666800,0.02868740
-18.69535694,0.53666800,0.02868740
-18.67487694,0.53666800,0.02868740
-18.65439694,0.53666800,0.07309183
-18.63391694,0.53666800,0.02868740
-18.61343694,0.53666800,0.02868740
-18.59295694,0.53666800,0.07309183
-18.57247694,0.53666800,0.07309183
-18.55199694,0.53666800,0.07309183
-18.53151694,0.53666800,0.02868740
-18.51103694,0.53666800,0.02868740
-18.49055694,0.53666800,0.02868740
-18.47007694,0.53666800,0.02868740
-18.44959694,0.53666800,0.02868740
-18.42911694,0.53666800,0.02868740
-18.40863694,0.53666800,0.02868740
-18.38815694,0.53666800,0.02868740
-18.36767694,0.53666800,0.02868740
-18.34719694,0.53666800,0.02868740
-18.32671694,0.53666800,0.02868740
-18.30623694,0.53666800,0.02868740
-18.28575694,0.53666800,0.02868740
-18.26527694,0.53666800,0.02868740
-18.24479694,0.53666800,0.02868740
-18.22431694,0.53666800,0.07309183
-18.20383694,0.53666800,0.02868740
-18.18335694,0.58122500,0.02868740
-18.16287694,0.53666800,0.02868740
-18.14239694,0.53666800,0.02868740
-18.12191694,1.56117400,0.02868740
-18.10143694,1.56117400,0.02868740
-18.08095694,1.56117400,0.02868740
-18.06047694,1.56117400,0.02868740
-18.03999694,1.56117400,0.02868740
-18.01951694,1.56117400,0.02868740
-17.99903694,1.51661700,0.02868740
-17.97855694,1.56117400,0.02868740
-17.95807694,1.56117400,0.02868740
-17.93759694,1.56117400,0.02868740
-17.91711694,1.56117400,0.02868740
-17.89663694,1.56117400,0.02868740
-17.87615694,1.56117400,0.02868740
-17.85567694,1.56117400,0.02868740
-17.83519694,1.56117400,0.02868740
-17.81471694,1.56117400,0.02868740
-17.79423694,1.56117400,0.02868740
-17.77375694,1.56117400,0.02868740
-17.75327694,1.56117400,0.02868740
-17.73279694,1.56117400,0.02868740
-17.71231695,1.56117400,0.02868740
-17.69183695,1.56117400,0.02868740
-17.67135695,1.51661700,0.02868740
-17.65087695,1.56117400,0.02868740
-17.63039695,1.56117400,0.02868740
-17.60991695,1.56117400,0.07309183
