Time,Channel A,Channel B
(ms),(V),(V)

-20.04716173,0.53666800,0.02868740
-20.02668173,0.53666800,0.07309183
-20.00620173,0.53666800,0.02868740
-19.98572173,0.53666800,0.02868740
-19.96524173,0.53666800,0.07309183
-19.94476173,0.53666800,0.02868740
-19.92428173,0.53666800,0.02868740
-19.90380173,0.53666800,0.02868740
-19.88332173,0.53666800,0.02868740
-19.86284173,0.53666800,0.02868740
-19.84236173,0.53666800,0.02868740
-19.82188173,0.53666800,0.02868740
-19.80140173,0.53666800,0.07309183
-19.78092173,0.53666800,0.02868740
-19.76044173,0.53666800,0.02868740
-19.73996173,0.53666800,0.02868740
-19.71948173,0.53666800,0.07309183
-19.69900173,0.53666800,0.02868740
-19.67852173,0.53666800,0.02868740
-19.65804173,0.53666800,0.02868740
-19.63756173,0.53666800,0.02868740
-19.61708173,0.53666800,0.02868740
-19.59660173,0.53666800,0.07309183
-19.57612173,0.53666800,0.02868740
-19.55564173,0.53666800,0.02868740
-19.53516173,0.53666800,0.02868740
-19.51468173,0.53666800,0.07309183
-19.49420173,0.53666800,0.02868740
-19.47372173,0.53666800,0.07309183
-19.45324173,0.53666800,0.02868740
-19.43276173,0.53666800,0.02868740
-19.41228173,0.53666800,0.02868740
-19.39180173,0.53666800,0.02868740
-19.37132173,0.53666800,0.02868740
-19.35084173,0.53666800,0.02868740
-19.33036173,0.53666800,0.02868740
-19.30988173,0.53666800,0.02868740
-19.28940173,0.53666800,0.02868740
-19.26892173,0.53666800,0.02868740
-19.24844173,0.53666800,0.02868740
-19.22796173,0.53666800,0.02868740
-19.20748173,0.53666800,0.02868740
-19.18700173,0.53666800,0.07309183
-19.16652173,0.53666800,0.02868740
-19.14604173,0.53666800,0.07309183
-19.12556173,0.53666800,0.02868740
-19.10508173,0.53666800,0.07309183
-19.08460173,0.53666800,0.07309183
-19.06412173,0.53666800,0.02868740
-19.04364173,0.53666800,0.02868740
-19.02316173,0.53666800,0.07309183
-19.00268173,0.53666800,0.02868740
-18.98220173,0.53666800,0.02868740
-18.96172173,0.53666800,0.07309183
-18.94124173,0.53666800,0.02868740
-18.92076173,0.53666800,0.02868740
-18.90028174,0.53666800,0.02868740
-18.87980174,0.53666800,0.07309183
-18.85932174,0.53666800,0.07309183
-18.83884174,0.53666800,0.07309183
-18.81836174,0.53666800,0.02868740
-18.79788174,0.53666800,0.07309183
-18.77740174,0.53666800,0.02868740
-18.75692174,0.53666800,0.02868740
-18.73644174,0.53666800,0.07309183
-18.71596174,0.53666800,0.02868740
-18.69548174,0.53666800,0.07309183
-18.67500174,0.53666800,0.02868740
-18.65452174,0.53666800,0.02868740
-18.63404174,0.53666800,0.07309183
-18.61356174,0.53666800,0.02868740
-18.59308174,0.53666800,0.02868740
-18.57260174,0.53666800,0.02868740
-18.55212174,0.53666800,0.02868740
-18.53164174,0.53666800,0.02868740
-18.51116174,0.53666800,0.02868740
-18.49068174,0.53666800,0.02868740
-18.47020174,0.53666800,0.02868740
-18.44972174,0.53666800,0.07309183
-18.42924174,0.53666800,0.02868740
-18.40876174,0.53666800,0.07309183
-18.38828174,0.53666800,0.02868740
-18.36780174,0.53666800,0.02868740
-18.34732174,0.53666800,0.02868740
-18.32684174,0.53666800,0.02868740
-18.30636174,0.53666800,0.07309183
-18.28588174,0.53666800,0.02868740
-18.26540174,0.53666800,0.07309183
-18.24492174,0.53666800,0.02868740
-18.22444174,0.53666800,0.02868740
-18.20396174,0.53666800,0.02868740
-18.18348174,0.53666800,0.02868740
-18.16300174,0.53666800,0.02868740
-18.14252174,1.51661700,0.02868740
-18.12204174,1.56117400,0.02868740
-18.10156174,1.56117400,0.07309183
-18.08108174,1.56117400,0.07309183
-18.06060174,1.56117400,0.02868740
-18.04012174,1.56117400,0.02868740
-18.01964174,1.56117400,0.02868740
-17.99916174,1.56117400,0.02868740
-17.97868174,1.56117400,0.02868740
-17.95820174,1.56117400,0.02868740
-17.93772174,1.56117400,0.07309183
-17.91724174,1.56117400,0.02868740
-17.89676174,1.56117400,0.07309183
-17.87628174,1.56117400,0.07309183
-17.85580174,1.56117400,0.02868740
-17.83532174,1.56117400,0.02868740
-17.81484174,1.56117400,0.02868740
-17.79436174,1.56117400,0.02868740
-17.77388174,1.56117400,0.07309183
-17.75340174,1.56117400,0.02868740
-17.73292174,1.56117400,0.02868740
-17.71244174,1.56117400,0.02868740
-17.69196174,1.56117400,0.02868740
-17.67148174,1.56117400,0.02868740
-17.65100174,1.56117400,0.02868740
-17.63052174,1.56117400,0.02868740
-17.61004174,1.56117400,0.02868740
