Time,Channel A,Channel B
(ms),(V),(V)

-20.04714869,0.53666800,0.02868740
-20.02666869,0.53666800,0.02868740
-20.00618869,0.53666800,0.02868740
-19.98570869,0.53666800,0.02868740
-19.96522869,0.53666800,0.07309183
-19.94474869,0.53666800,0.02868740
-19.92426869,0.53666800,0.07309183
-19.90378869,0.53666800,0.07309183
-19.88330869,0.53666800,0.02868740
-19.86282869,0.53666800,0.02868740
-19.84234869,0.53666800,0.02868740
-19.82186869,0.53666800,0.02868740
-19.80138869,0.53666800,0.02868740
-19.78090869,0.53666800,0.02868740
-19.76042869,0.53666800,0.02868740
-19.73994869,0.53666800,0.07309183
-19.71946869,0.53666800,0.02868740
-19.69898869,0.53666800,0.02868740
-19.67850869,0.53666800,0.02868740
-19.65802869,0.53666800,0.07309183
-19.63754869,0.53666800,0.07309183
-19.61706869,0.53666800,0.02868740
-19.59658869,0.53666800,0.02868740
-19.57610869,0.53666800,0.02868740
-19.55562869,0.53666800,0.02868740
-19.53514869,0.53666800,0.02868740
-19.51466869,0.53666800,0.02868740
-19.49418869,0.53666800,0.02868740
-19.47370869,0.53666800,0.02868740
-19.45322869,0.53666800,0.02868740
-19.43274869,0.53666800,0.07309183
-19.41226869,0.53666800,0.02868740
-19.39178869,0.53666800,0.02868740
-19.37130869,0.53666800,0.07309183
-19.35082869,0.53666800,0.07309183
-19.33034869,0.53666800,0.02868740
-19.30986869,0.53666800,0.07309183
-19.28938869,0.53666800,0.02868740
-19.26890869,0.53666800,0.02868740
-19.24842869,0.53666800,0.02868740
-19.22794869,0.53666800,0.02868740
-19.20746869,0.53666800,0.02868740
-19.18698869,0.53666800,0.07309183
-19.16650869,0.53666800,0.02868740
-19.14602870,0.53666800,0.02868740
-19.12554870,0.53666800,0.02868740
-19.10506870,0.53666800,0.02868740
-19.08458870,0.53666800,0.07309183
-19.06410870,0.53666800,0.02868740
-19.04362870,0.53666800,0.07309183
-19.02314870,0.53666800,0.02868740
-19.00266870,0.53666800,0.02868740
-18.98218870,0.53666800,0.02868740
-18.96170870,0.53666800,0.02868740
-18.94122870,0.53666800,0.02868740
-18.92074870,0.53666800,0.07309183
-18.90026870,0.53666800,0.02868740
-18.87978870,0.53666800,0.02868740
-18.85930870,0.53666800,0.02868740
-18.83882870,0.53666800,0.02868740
-18.81834870,0.53666800,0.07309183
-18.79786870,0.53666800,0.07309183
-18.77738870,0.53666800,0.02868740
-18.75690870,0.53666800,0.02868740
-18.73642870,0.53666800,0.02868740
-18.71594870,0.53666800,0.07309183
-18.69546870,0.53666800,0.07309183
-18.67498870,0.53666800,0.02868740
-18.65450870,0.53666800,0.07309183
-18.63402870,0.53666800,0.02868740
-18.61354870,0.53666800,0.02868740
-18.59306870,0.53666800,0.02868740
-18.57258870,0.53666800,0.02868740
-18.55210870,0.53666800,0.02868740
-18.53162870,0.53666800,0.02868740
-18.51114870,0.53666800,0.02868740
-18.49066870,0.53666800,0.07309183
-18.47018870,0.53666800,0.07309183
-18.44970870,0.53666800,0.02868740
-18.42922870,0.53666800,0.02868740
-18.40874870,0.53666800,0.02868740
-18.38826870,0.53666800,0.07309183
-18.36778870,0.53666800,0.02868740
-18.34730870,0.53666800,0.07309183
-18.32682870,0.53666800,0.02868740
-18.30634870,0.53666800,0.02868740
-18.28586870,0.53666800,0.02868740
-18.26538870,0.53666800,0.02868740
-18.24490870,0.53666800,0.02868740
-18.22442870,0.53666800,0.02868740
-18.20394870,0.53666800,0.02868740
-18.18346870,0.53666800,0.07309183
-18.16298870,0.53666800,0.02868740
-18.14250870,0.53666800,0.02868740
-18.12202870,1.56117400,0.02868740
-18.10154870,1.56117400,0.02868740
-18.08106870,1.56117400,0.02868740
-18.06058870,1.56117400,0.02868740
-18.04010870,1.56117400,0.02868740
-18.01962870,1.56117400,0.02868740
-17.99914870,1.56117400,0.02868740
-17.97866870,1.56117400,0.02868740
-17.95818870,1.56117400,0.07309183
-17.93770870,1.56117400,0.02868740
-17.91722870,1.56117400,0.02868740
-17.89674870,1.56117400,0.02868740
-17.87626870,1.56117400,0.02868740
-17.85578870,1.56117400,0.02868740
-17.83530870,1.51661700,0.02868740
-17.81482870,1.56117400,0.02868740
-17.79434870,1.56117400,0.07309183
-17.77386870,1.56117400,0.07309183
-17.75338870,1.56117400,0.07309183
-17.73290870,1.56117400,0.07309183
-17.71242870,1.56117400,0.02868740
-17.69194870,1.56117400,0.07309183
-17.67146870,1.51661700,0.02868740
-17.65098870,1.56117400,0.02868740
-17.63050870,1.56117400,0.07309183
-17.61002870,1.56117400,0.07309183
