Time,Channel A,Channel B
(ms),(V),(V)

-20.04702948,0.53666800,0.02868740
-20.02654948,0.53666800,0.02868740
-20.00606948,0.53666800,0.02868740
-19.98558948,0.53666800,0.02868740
-19.96510948,0.53666800,0.07309183
-19.94462948,0.53666800,0.02868740
-19.92414948,0.53666800,0.02868740
-19.90366948,0.53666800,0.02868740
-19.88318948,0.53666800,0.02868740
-19.86270948,0.53666800,0.02868740
-19.84222948,0.53666800,0.02868740
-19.82174948,0.53666800,0.02868740
-19.80126948,0.53666800,0.02868740
-19.78078948,0.53666800,0.02868740
-19.76030948,0.53666800,0.02868740
-19.73982948,0.53666800,0.02868740
-19.71934948,0.53666800,0.02868740
-19.69886948,0.53666800,0.02868740
-19.67838948,0.53666800,0.02868740
-19.65790948,0.53666800,0.02868740
-19.63742948,0.53666800,0.02868740
-19.61694948,0.53666800,0.02868740
-19.59646948,0.53666800,0.02868740
-19.57598948,0.53666800,0.02868740
-19.55550948,0.53666800,0.02868740
-19.53502948,0.53666800,0.02868740
-19.51454948,0.58122500,0.02868740
-19.49406948,0.53666800,0.07309183
-19.47358948,0.53666800,0.02868740
-19.45310948,0.53666800,0.02868740
-19.43262948,0.53666800,0.07309183
-19.41214948,0.53666800,0.07309183
-19.39166948,0.53666800,0.02868740
-19.37118948,0.53666800,0.07309183
-19.35070948,0.53666800,0.02868740
-19.33022948,0.53666800,0.02868740
-19.30974948,0.53666800,0.02868740
-19.28926948,0.53666800,0.02868740
-19.26878949,0.53666800,0.02868740
-19.24830949,0.53666800,0.02868740
-19.22782949,0.53666800,0.02868740
-19.20734949,0.53666800,0.02868740
-19.18686949,0.53666800,0.07309183
-19.16638949,0.53666800,0.02868740
-19.14590949,0.53666800,0.02868740
-19.12542949,0.53666800,0.02868740
-19.10494949,0.53666800,0.02868740
-19.08446949,0.53666800,0.02868740
-19.06398949,0.53666800,0.07309183
-19.04350949,0.53666800,0.07309183
-19.02302949,0.53666800,0.07309183
-19.00254949,0.53666800,0.07309183
-18.98206949,0.53666800,0.02868740
-18.96158949,0.53666800,0.02868740
-18.94110949,0.53666800,0.02868740
-18.92062949,0.53666800,0.02868740
-18.90014949,0.53666800,0.07309183
-18.87966949,0.53666800,0.07309183
-18.85918949,0.53666800,0.02868740
-18.83870949,0.53666800,0.02868740
-18.81822949,0.53666800,0.07309183
-18.79774949,0.53666800,0.02868740
-18.77726949,0.53666800,0.02868740
-18.75678949,0.53666800,0.02868740
-18.73630949,0.53666800,0.02868740
-18.71582949,0.53666800,0.02868740
-18.69534949,0.53666800,0.02868740
-18.67486949,0.53666800,0.02868740
-18.65438949,0.53666800,0.02868740
-18.63390949,0.53666800,0.02868740
-18.61342949,0.53666800,0.02868740
-18.59294949,0.53666800,0.02868740
-18.57246949,0.53666800,0.02868740
-18.55198949,0.53666800,0.02868740
-18.53150949,0.53666800,0.07309183
-18.51102949,0.53666800,0.07309183
-18.49054949,0.53666800,0.02868740
-18.47006949,0.53666800,0.02868740
-18.44958949,0.53666800,0.02868740
-18.42910949,0.53666800,0.07309183
-18.40862949,0.53666800,0.02868740
-18.38814949,0.53666800,0.02868740
-18.36766949,0.53666800,0.07309183
-18.34718949,0.53666800,0.02868740
-18.32670949,0.53666800,0.02868740
-18.30622949,0.53666800,0.02868740
-18.28574949,0.53666800,0.07309183
-18.26526949,0.53666800,0.02868740
-18.24478949,0.53666800,0.02868740
-18.22430949,0.53666800,0.02868740
-18.20382949,0.53666800,0.07309183
-18.18334949,0.53666800,0.02868740
-18.16286949,0.53666800,0.02868740
-18.14238949,0.53666800,0.02868740
-18.12190949,1.56117400,0.07309183
-18.10142949,1.56117400,0.07309183
-18.08094949,1.56117400,0.07309183
-18.06046949,1.56117400,0.02868740
-18.03998949,1.56117400,0.02868740
-18.01950949,1.56117400,0.02868740
-17.99902949,1.56117400,0.02868740
-17.97854949,1.56117400,0.07309183
-17.95806949,1.56117400,0.02868740
-17.93758949,1.56117400,0.02868740
-17.91710949,1.56117400,0.02868740
-17.89662949,1.51661700,0.02868740
-17.87614949,1.56117400,0.07309183
-17.85566949,1.56117400,0.07309183
-17.83518949,1.56117400,0.07309183
-17.81470949,1.56117400,0.02868740
-17.79422949,1.56117400,0.02868740
-17.77374949,1.56117400,0.02868740
-17.75326949,1.56117400,0.07309183
-17.73278949,1.56117400,0.07309183
-17.71230949,1.56117400,0.02868740
-17.69182949,1.56117400,0.02868740
-17.67134949,1.56117400,0.02868740
-17.65086949,1.56117400,0.02868740
-17.63038950,1.56117400,0.02868740
-17.60990950,1.56117400,0.02868740
